,GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),Numeric,Value
15477,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1999,SEX,SEX_BTSX,0.34285,0.3 [0.3-0.4]
15478,WHS3_49,Poliomyelitis - number of reported cases,2003,,,225.0,225
15479,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",1994,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,70.0,70 [52.4 - 84.4]
15480,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1999,SEX,SEX_MLE,36.3535,36.4 [33.7-39.0]
15481,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2015,SEX,SEX_FMLE,36.8987,36.9 [34.8-39.0]
15482,FINPROTECTION_IMP_P365_POP,"Population pushed further below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)",2003,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,60.24,60.24
15483,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2006,SEX,SEX_MLE,43.3,43.3 [40.7-45.8]
15484,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,AGEGROUP,AGEGROUP_MONTHS1-59,0.11237,0.1
15485,ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),2023,,,90.0,90
15486,PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),2022,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,74.5,74.5 [55.3-88.9]
15487,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2014,SEX,SEX_BTSX,6.89113,6.9 [6.5-7.3]
15489,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2006,SEX,SEX_FMLE,53.4,53.4 [52.3-54.5]
15490,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,348.61958,348.62 [146.79 - 616.79]
15491,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,SEX,SEX_FMLE,15.3,15.3 [14.6-16.1]
15492,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),2007,SEX,SEX_MLE,24.28901,24.3 [17.5-32.1]
15493,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,SEX,SEX_MLE,38.7,38.7 [37.8-39.6]
15494,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,SEX,SEX_FMLE,8.0,8.0 [7.2-8.8]
15495,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1992,SEX,SEX_FMLE,0.87119,0.9 [0.6-1.2]
15496,W6_font_B,"Does the law mandate font style, font size and colour of health warnings on other smoked tobacco packaging?",2007,,,0.0,Yes
15497,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1994,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,141.80174,141.8 [58.42 - 252.53]
15498,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1996,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,30.80429,30.8 [9.31 - 66.62]
15499,GDO_q19x3x1_1,Number of investigational pharmaceutical trials for dementia,2017,,,0.0,Not available
15500,MORT_200,Deaths per 1 000 live births,2008,AGEGROUP,AGEGROUP_YEARS0-4,5.17339,5.2
15501,GHED_GGHE-D_pc_US_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in US$,2017,,,18.75,18.75
15502,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2015,SEX,SEX_MLE,6.2,6.2 [5.8-6.7]
15503,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2005,SEX,SEX_BTSX,871432.7,871433 [609014-1149437]
15504,MORT_100,Number of deaths,2009,SEX,SEX_BTSX,53964.95062,53964.95062
15505,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),1994,SEX,SEX_MLE,8.58164,8.6 [7.9-9.3]
15506,MORT_MATERNALNUM,Number of maternal deaths,2009,,,55601.7108,55 602 [50 462-64 134]
15507,MORT_100,Number of deaths,2012,SEX,SEX_BTSX,2408.096,2408.096
15508,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),2009,SEX,SEX_BTSX,31.08248,31.1 [25.9-36.7]
15509,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1991,SEX,SEX_FMLE,0.81358,0.8 [0.6-1.1]
15510,W11_outside_pack_A,Do health warnings appear on each cigarette package and any outside packaging and labelling used in the retail sale?,2022,,,0.0,Yes
15511,CARE_SOURCE,Care-seeking by type of patient and source of care (%),2015,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,52.9,52.9
15512,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1990,SEX,SEX_MLE,41.56612,41.6 [38.2-44.9]
15513,LBW_NUMBER,Low birth weight number (in thousands),2000,,,9291.3,9291.3 [8447.4-10 208.0]
15514,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2015,SEX,SEX_MLE,67382.0,67 382 [61 770-73 114]
15515,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2020,SEX,SEX_MLE,9.72956,9.7 [8.3-11.3]
15516,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2021,SEX,SEX_MLE,13.86667,13.9 [11.7-16.2]
15517,SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",2001,,,1.00117,1.0 [0.1 - 1.9]
15519,PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2022,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,565.69402,565.69 [440.79 - 680.64]
15520,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2017,SEX,SEX_MLE,8.08103,8.1 [7.3-9.0]
15521,MORT_100,Number of deaths,2015,SEX,SEX_BTSX,32436.27586,32436.27586
15522,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,AGEGROUP,AGEGROUP_MONTHS12-23,3.5,3.5 [3.2-3.7]
15523,NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",1991,SEX,SEX_FMLE,3.2,3.2 [3.0-3.4]
15524,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2016,SEX,SEX_MLE,4.85855,4.9 [4.4-5.3]
15525,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),2001,SEX,SEX_BTSX,43.27527,43.3 [40.5-46.1]
15526,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2009,,,74.0,74
15527,AIR_41,Ambient air pollution attributable deaths,2019,SEX,SEX_MLE,11919.62992,11 920 [7 723-16 757]
15528,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,AGEGROUP,AGEGROUP_DAYS0-27,0.06709,0.1
15529,PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),2018,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,89.3,89.3 [79.4-95.7]
15530,SDGSUICIDE,Crude suicide rates (per 100 000 population),2019,SEX,SEX_MLE,6.71,6.7
15532,NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,SEVERITY,SEVERITY_MILD,23.1,23.1 [20.5-25.4]
15533,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",1996,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,28.0,28 [17.5 - 40]
15534,SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",2003,SEX,SEX_BTSX,25.35676,25.4 [23.3 - 27.6]
15535,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2006,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP80,43.9,43.9 [43.1-44.8]
15536,HWF_0008,Nursing personnel (number),2001,,,1270299.0,1 270 299
15537,CM_04,Number of deaths among children ages 5 to 9 years,2016,SEX,SEX_MLE,42307.0,42 307 [39 054-45 677]
15538,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2017,SEX,SEX_BTSX,32.93958,32.9 [31.0-34.9]
15539,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2016,SEX,SEX_FMLE,409961.2,409961 [321675-514131]
15540,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2018,SEX,SEX_FMLE,18.03191,18.0 [16.6-19.6]
15541,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),2005,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,83.03678,83
15542,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1992,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM40,63.8,63.8 [62.3-65.3]
15543,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2013,SEX,SEX_FMLE,22.61948,22.6 [21.3-23.9]
15545,HEMOGLOBINLEVEL_PREGNANT_MEAN,Mean hemoglobin level of pregnant women (aged 15-49 years),2008,,,108.0,108 [107-110]
15546,MORT_100,Number of deaths,2012,SEX,SEX_BTSX,3730.90674,3730.90674
15547,GDO_q12x2x1x1_3PRV,Majority provider of respite care for dementia carers (Private sector),2017,,,0.0,No
15548,TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2000,,,70.0,70
15550,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2007,SEX,SEX_FMLE,110867.9,110868 [87204-137416]
15551,NCD_DTH_TOT,Total NCD Deaths (in thousands),2005,SEX,SEX_FMLE,1903106.0,1903106 [1366632-2583630]
15552,MORT_100,Number of deaths,2020,SEX,SEX_BTSX,50251.51651,50251.51651
15553,NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),2008,SEX,SEX_FMLE,35.74662,35.7 [27.4-44.3]
15554,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),2019,SEX,SEX_MLE,1923.88863,1 924 [1 526-2 362]
15555,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2009,SEX,SEX_FMLE,127512.0,127 512 [118 009-137 314]
15556,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",1999,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,2.6,2.6 [0.7 - 6.2]
15557,NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),2018,SEVERITY,SEVERITY_MODERATE,85100.0,85100 [61400-108000]
15558,RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,2014,SUBSTANCETYPE,SUBSTANCETYPE_TOBACCO,0.0,Yes
15560,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2006,SEX,SEX_FMLE,3.5,3.5 [2.6-4.6]
15561,LBW_PREVALENCE,Low birth weight prevalence (%),2012,,,29.5,29.5 [28.0-31.0]
15562,CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2019,SEX,SEX_BTSX,4.70001,4.7 [4.3-5.1]
15563,SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",2011,SEX,SEX_MLE,50.61557,50.6 [47.2 - 53.8]
15564,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_HIGHER,17.9,17.9 [17.1-18.8]
15565,M_Est_cig_curr_std,Estimate of current cigarette smoking prevalence (%) (age-standardized rate),2000,SEX,SEX_BTSX,18.5,18.5 [13.7-23.3]
15566,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1998,SEX,SEX_BTSX,70.29894,70.3 [67.7-73.0]
15567,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1992,SEX,SEX_MLE,2.2,2.2 [1.6-3.2]
15568,AIR_11,Household air pollution attributable deaths,2019,SEX,SEX_BTSX,25086.14258,25 086 [13 604-36 113]
15569,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),2021,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,92.72465,93
15570,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),2015,SEX,SEX_FMLE,13.79919,13.8 [13.3-14.4]
15571,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM80,19.3,19.3 [19.0-19.6]
15572,HEMOGLOBINLEVEL_PREGNANT_MEAN,Mean hemoglobin level of pregnant women (aged 15-49 years),2009,,,108.0,108 [107-110]
15573,MORT_100,Number of deaths,2018,SEX,SEX_BTSX,23531.66306,23531.66306
15574,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2003,SEX,SEX_FMLE,85.7915,85.8 [82.2-89.6]
15575,PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),2000,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,709.90499,709.9 [660.38 - 741.9]
15576,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,AGEGROUP,AGEGROUP_DAYS0-27,0.12867,0.1
15577,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2010,SEX,SEX_MLE,2.38302,2.4 [2.2-2.6]
15578,AIR_45,Ambient air pollution attributable YLLs,2019,SEX,SEX_FMLE,130976.6997,130 977 [84 864-184 133]
15579,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2021,SEX,SEX_BTSX,20.65316,20.7 [18.4-23.0]
15580,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2021,SEX,SEX_MLE,30.41412,30.4 [27.2-33.7]
15581,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2008,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,0.9,0.9 [0 - 3.7]
15582,NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",1981,SEX,SEX_BTSX,1.1,1.1 [0.9-1.3]
15584,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2017,SEX,SEX_BTSX,2.89149,2.9 [2.5-3.3]
15585,PRETERMBIRTH_RATE,Preterm birth rate (per 100 live births),2011,,,13.13714,13.1 [9.9-17.1]
15586,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2019,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,1.36874,1.37 [0 - 9.58]
15587,CM_04,Number of deaths among children ages 5 to 9 years,1996,SEX,SEX_MLE,128014.0,128 014 [120 839-135 494]
15588,NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2004,SEVERITY,SEVERITY_MILD,25.3,25.3 [22.9-27.3]
15589,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),2014,SEX,SEX_MLE,0.39603,0.4 [0.2-0.5]
15590,MORT_100,Number of deaths,2014,SEX,SEX_BTSX,170106.28312,170106.28312
15591,WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2001,,,83.0,83
15592,PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),2018,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,40.6,40.6 [29.3-53]
15593,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,AGEGROUP,AGEGROUP_MONTHS36-41,32.6,32.6 [31.7-33.6]
15594,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2003,SEX,SEX_BTSX,81.06652,81.1 [77.7-84.6]
15595,MORT_100,Number of deaths,2007,SEX,SEX_BTSX,128263.5859,128263.5859
15596,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2015,SEX,SEX_FMLE,5.1,5.1 [4.8-5.4]
15599,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2010,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,34.9,34.9 [18.7 - 53.1]
15600,PRETERMBIRTH_RATE,Preterm birth rate (per 100 live births),2018,,,13.06033,13.1 [9.8-17.2]
15601,NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",1989,SEX,SEX_FMLE,4.3,4.3 [4.0-4.7]
15602,NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (millions), model-based estimates",2007,,,2.9504,3.0 [2.4-3.6]
15603,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1998,SEX,SEX_FMLE,11.52174,11.5 [10.7-12.4]
15604,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2015,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,0.8,0.8 [0 - 2.9]
15605,NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2007,SEX,SEX_MLE,1.0,1.0 [0.9-1.0]
15606,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,WEALTHTERCILE,WEALTHTERCILE_TOTL,36.3,36.3 [36.0-36.6]
15607,SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",2006,SEX,SEX_MLE,65.39075,65.4 [62.3 - 68.5]
15608,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2021,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,0.3,0.3 [0 - 1.5]
15609,SDGPM25,Concentrations of fine particulate matter (PM2.5),2013,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,58.2048,58.20 [55.61-60.78]
15610,WHS3_57,Rubella - number of reported cases,2022,,,2525.0,2525
15611,CM_01,Number of under-five deaths,1988,SEX,SEX_BTSX,3628044.0,3 628 044 [3 503 083-3 757 693]
15612,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1999,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_TOTL,51.0,51.0 [50.2-51.8]
15613,O_Bup_sold,Bupropion - legally sold,2022,,,0.0,Yes
15614,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1991,SEX,SEX_BTSX,0.77449,0.8 [0.6-0.9]
15615,CM_04,Number of deaths among children ages 5 to 9 years,2020,SEX,SEX_BTSX,45931.0,45 931 [40 072-51 438]
15616,W13_ind_liability_B,Health warnings on other smoked tobacco packaging do not remove or diminish the liability of the tobacco industry,2018,,,0.0,No
15617,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2001,SEX,SEX_MLE,156077.0,156 077 [143 729-169 330]
15618,MORT_100,Number of deaths,2015,SEX,SEX_BTSX,84046.91276,84046.91276
15619,MORT_100,Number of deaths,2004,SEX,SEX_BTSX,215794.80469,215794.80469
15620,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2015,SEX,SEX_FMLE,20.72942,20.7 [19.5-22.0]
15621,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2001,SEX,SEX_MLE,482635.7,482636 [358639-613459]
15622,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2010,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,21.6,21.6 [12.3 - 33]
15623,WHS4_543,BCG immunization coverage among 1-year-olds (%),2012,,,90.0,90
15624,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2016,SEX,SEX_MLE,7.60176,7.6 [6.9-8.3]
15625,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1989,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_TOTL,55.5,55.5
15626,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",1990,SEX,SEX_MLE,40.60027,40.6 [37.6-43.5]
15627,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1992,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,12.74134,12.74 [1.34 - 38.89]
15628,RSUD_580,Prevention programmes for alcohol,2014,RSUDPREVENTIONPROGRAMME,RSUDPREVENTIONPROGRAMME_PARENT_PROG,0.0,Yes
15629,CM_02,Number of infant deaths,2019,SEX,SEX_FMLE,337400.0,337 400 [310 608-365 579]
15630,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1999,SEX,SEX_FMLE,0.20937,0.2 [0.1-0.3]
15631,O_Avail_hlth_clin,Treatment for tobacco dependence available in health clinics or other primary care facilities,2018,,,0.0,Yes in some
15632,SRHINSTITUTIONALBIRTH,Proportion of births delivered in a health facility (Facility births) (%),2009,,,57.7,57.7
15633,NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",2015,SEX,SEX_BTSX,4.3,4.3 [4.1-4.4]
15634,NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),2017,SEVERITY,SEVERITY_MODERATE,84000.0,84000 [62300-105000]
15635,FINPROTECTION_IMP_P365_POP,"Population pushed further below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)",2001,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,64.09,64.09
15636,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),2010,SEX,SEX_BTSX,31.81394,31.8 [29.7-34.1]
15637,SDGSUICIDE,Crude suicide rates (per 100 000 population),2011,SEX,SEX_MLE,16.3483,16.3 [11.4-19.0]
15638,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1981,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,1.08,1.08
15639,MORT_200,Deaths per 1 000 live births,2008,AGEGROUP,AGEGROUP_MONTHS1-59,1.58259,1.6
15640,W9_no_obscure_A,Health warnings on cigarette packaging must not be obscured in any way including by required markings such as tax stamps,2020,,,0.0,Yes
15641,MORT_MATERNALNUM,Number of maternal deaths,1991,,,136029.1788,136 029 [114 988-167 813]
15642,TB_c_newinc,Tuberculosis - new and relapse cases,2006,,,1228827.0,1228827
15643,FINPROTECTION_IMP_NP365_POP,"Population pushed below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)",1995,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,1.12,1.12
15644,MORT_100,Number of deaths,2008,SEX,SEX_BTSX,55512.86186,55512.86186
15645,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1991,EDUCATIONLEVEL,EDUCATIONLEVEL_TOTL,52.8,52.8
15646,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,AGEGROUP,AGEGROUP_YEARS0-4,0.00289,0
15647,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2008,SEVERITY,SEVERITY_SEVERE,10300.0,10300 [6850-14000]
15648,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2020,SEX,SEX_MLE,26.0,26.0 [24.8-27.3]
15649,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2021,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,0.2,0.2 [0 - 1.6]
15650,MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2000,,,2.98559,2.99 [1.45-48.85]
15651,PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),1996,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,41.7,41.7 [30.5-53.3]
15652,MORT_100,Number of deaths,2003,SEX,SEX_BTSX,161580.2404,161580.2404
15653,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2020,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,51.1,51.1 [38.9 - 63.2]
15654,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2000,SEX,SEX_FMLE,34.38447,34.4 [32.6-36.1]
15655,MORT_100,Number of deaths,2000,SEX,SEX_BTSX,7339.0,7339.0
15656,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,AGEGROUP,AGEGROUP_YEARS0-4,0.04263,0
15657,NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2006,SEVERITY,SEVERITY_MILD,33400.0,33400 [30000-36000]
15659,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2002,SEVERITY,SEVERITY_TOTAL,147000.0,147000 [128000-166000]
15660,MORT_100,Number of deaths,2001,SEX,SEX_BTSX,502.79377,502.79377
15661,TB_c_mdr_tx,Cases started on MDR-TB treatment,2015,,,26966.0,26966
15662,WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),1993,SEX,SEX_MLE,11.63218,11.6 [11.0-12.3]
